iter	Passed	Remaining
0	11	22013
1	17	17486
2	24	16021
3	30	15232
4	36	14686
5	43	14431
6	49	14215
7	56	13979
8	62	13795
9	69	13739
10	75	13598
11	81	13479
12	87	13403
13	93	13331
14	100	13308
15	106	13234
16	113	13182
17	119	13134
18	125	13119
19	132	13091
20	138	13070
21	145	13048
22	151	13031
23	157	12990
24	164	12965
25	170	12929
26	176	12912
27	183	12927
28	189	12887
29	195	12865
30	202	12883
31	209	12873
32	215	12853
33	221	12835
34	228	12822
35	235	12823
36	241	12787
37	246	12746
38	252	12711
39	258	12667
40	264	12636
41	270	12605
42	276	12584
43	282	12566
44	288	12539
45	294	12527
46	300	12498
47	306	12472
48	312	12454
49	318	12440
50	324	12413
51	330	12394
52	337	12382
53	343	12377
54	349	12369
55	356	12364
56	362	12352
57	368	12343
58	374	12315
59	380	12300
60	387	12302
61	393	12294
62	399	12282
63	406	12286
64	412	12282
65	418	12267
66	424	12260
67	431	12248
68	437	12233
69	443	12225
70	449	12216
71	456	12219
72	462	12202
73	468	12199
74	474	12191
75	481	12186
76	487	12178
77	494	12175
78	500	12163
79	506	12155
80	512	12143
81	518	12138
82	524	12124
83	530	12108
84	536	12093
85	542	12079
86	548	12071
87	555	12058
88	561	12053
89	567	12048
90	573	12037
91	579	12023
92	586	12023
93	592	12011
94	598	12009
95	605	12003
96	611	11994
97	617	11993
98	623	11981
99	630	11983
100	637	11984
101	643	11970
102	649	11962
103	656	11968
104	662	11954
105	668	11943
106	674	11931
107	680	11928
108	687	11933
109	694	11930
110	700	11919
111	706	11902
112	712	11897
113	718	11889
114	724	11872
115	730	11859
116	736	11851
117	742	11842
118	748	11830
119	754	11819
120	760	11809
121	766	11800
122	772	11791
123	778	11782
124	785	11775
125	791	11764
126	796	11747
127	802	11741
128	809	11733
129	815	11735
130	822	11728
131	827	11715
132	834	11713
133	840	11702
134	846	11698
135	853	11693
136	859	11683
137	865	11675
138	871	11669
139	877	11657
140	884	11658
141	891	11660
142	896	11647
143	903	11640
144	908	11628
145	915	11619
146	921	11620
147	928	11612
148	933	11602
149	940	11594
150	946	11584
151	952	11578
152	958	11570
153	964	11563
154	970	11551
155	976	11542
156	982	11536
157	988	11528
158	995	11526
159	1001	11519
160	1007	11513
161	1014	11507
162	1020	11504
163	1026	11495
164	1033	11490
165	1039	11482
166	1045	11476
167	1052	11473
168	1058	11463
169	1064	11457
170	1070	11449
171	1076	11443
172	1082	11433
173	1089	11432
174	1095	11427
175	1101	11416
176	1107	11406
177	1113	11398
178	1119	11387
179	1125	11382
180	1132	11381
181	1139	11378
182	1144	11367
183	1151	11362
184	1157	11352
185	1163	11348
186	1169	11337
187	1175	11333
188	1182	11328
189	1188	11323
190	1194	11317
191	1201	11311
192	1207	11302
193	1213	11294
194	1220	11295
195	1226	11287
196	1232	11278
197	1238	11274
198	1245	11267
199	1250	11257
200	1257	11251
201	1263	11243
202	1268	11232
203	1275	11228
204	1281	11220
205	1287	11212
206	1294	11208
207	1300	11200
208	1306	11199
209	1313	11192
210	1319	11186
211	1326	11184
212	1332	11177
213	1338	11172
214	1344	11163
215	1351	11158
216	1356	11148
217	1362	11139
218	1369	11136
219	1375	11128
220	1381	11119
221	1387	11110
222	1393	11103
223	1399	11093
224	1405	11086
225	1411	11081
226	1417	11072
227	1423	11064
228	1430	11059
229	1436	11054
230	1442	11049
231	1448	11041
232	1455	11034
233	1461	11026
234	1467	11020
235	1473	11012
236	1479	11007
237	1486	11001
238	1491	10993
239	1497	10984
240	1503	10976
241	1509	10966
242	1515	10959
243	1521	10950
244	1527	10942
245	1533	10936
246	1539	10928
247	1545	10920
248	1551	10910
249	1557	10901
250	1563	10893
251	1569	10884
252	1575	10879
253	1581	10872
254	1587	10866
255	1593	10858
256	1600	10854
257	1606	10849
258	1612	10842
259	1619	10840
260	1625	10832
261	1632	10826
262	1638	10819
263	1643	10810
264	1649	10800
265	1656	10795
266	1662	10789
267	1668	10781
268	1674	10772
269	1680	10767
270	1686	10763
271	1693	10756
272	1698	10745
273	1704	10739
274	1710	10731
275	1717	10725
276	1722	10716
277	1728	10707
278	1734	10700
279	1740	10692
280	1747	10687
281	1753	10681
282	1759	10675
283	1765	10668
284	1771	10662
285	1778	10658
286	1784	10652
287	1790	10644
288	1797	10643
289	1803	10635
290	1809	10627
291	1816	10622
292	1821	10614
293	1827	10607
294	1834	10599
295	1840	10596
296	1847	10592
297	1853	10587
298	1860	10581
299	1866	10577
300	1872	10570
301	1878	10562
302	1884	10555
303	1891	10549
304	1896	10541
305	1902	10533
306	1909	10528
307	1915	10522
308	1922	10518
309	1928	10513
310	1934	10507
311	1940	10500
312	1947	10494
313	1953	10488
314	1959	10481
315	1965	10473
316	1971	10465
317	1976	10456
318	1983	10450
319	1989	10444
320	1995	10438
321	2001	10431
322	2008	10425
323	2014	10419
324	2019	10410
325	2025	10403
326	2032	10396
327	2037	10388
328	2043	10381
329	2050	10375
330	2056	10367
331	2062	10360
332	2068	10355
333	2074	10348
334	2080	10342
335	2086	10335
336	2093	10330
337	2099	10322
338	2105	10314
339	2111	10307
340	2117	10301
341	2123	10294
342	2129	10288
343	2135	10279
344	2141	10274
345	2147	10267
346	2153	10260
347	2160	10255
348	2166	10248
349	2171	10238
350	2178	10234
351	2184	10228
352	2190	10221
353	2197	10216
354	2203	10211
355	2209	10204
356	2215	10197
357	2222	10192
358	2228	10185
359	2234	10178
360	2240	10170
361	2245	10161
362	2251	10155
363	2258	10149
364	2263	10140
365	2269	10133
366	2275	10125
367	2282	10120
368	2288	10114
369	2295	10112
370	2301	10103
371	2307	10097
372	2313	10090
373	2319	10084
374	2325	10078
375	2332	10073
376	2337	10065
377	2344	10060
378	2351	10055
379	2357	10048
380	2363	10042
381	2369	10035
382	2375	10030
383	2381	10023
384	2388	10017
385	2394	10011
386	2400	10005
387	2406	9997
388	2412	9990
389	2418	9984
390	2424	9976
391	2430	9971
392	2436	9964
393	2443	9958
394	2448	9950
395	2455	9945
396	2461	9938
397	2467	9933
398	2473	9926
399	2479	9919
400	2485	9912
401	2492	9906
402	2498	9899
403	2503	9891
404	2509	9884
405	2516	9879
406	2522	9872
407	2528	9865
408	2534	9859
409	2540	9851
410	2546	9844
411	2552	9838
412	2558	9831
413	2564	9825
414	2570	9818
415	2576	9811
416	2582	9803
417	2588	9797
418	2594	9790
419	2601	9784
420	2607	9779
421	2613	9773
422	2619	9766
423	2626	9763
424	2632	9757
425	2639	9750
426	2645	9744
427	2651	9737
428	2657	9731
429	2663	9725
430	2669	9717
431	2675	9712
432	2681	9705
433	2688	9699
434	2694	9692
435	2700	9688
436	2707	9683
437	2713	9677
438	2719	9670
439	2725	9663
440	2731	9657
441	2738	9651
442	2744	9645
443	2750	9639
444	2756	9633
445	2762	9626
446	2768	9619
447	2774	9610
448	2780	9604
449	2787	9600
450	2793	9594
451	2799	9587
452	2805	9580
453	2811	9575
454	2817	9567
455	2823	9560
456	2829	9553
457	2835	9547
458	2841	9540
459	2847	9533
460	2853	9527
461	2859	9520
462	2866	9514
463	2872	9507
464	2877	9500
465	2883	9493
466	2890	9488
467	2896	9481
468	2903	9477
469	2909	9470
470	2914	9462
471	2920	9454
472	2926	9448
473	2933	9443
474	2939	9436
475	2945	9430
476	2951	9423
477	2958	9418
478	2964	9413
479	2970	9406
480	2976	9399
481	2983	9395
482	2989	9389
483	2995	9383
484	3002	9378
485	3008	9372
486	3014	9366
487	3020	9359
488	3026	9352
489	3032	9345
490	3039	9340
491	3045	9333
492	3051	9328
493	3058	9323
494	3064	9316
495	3070	9310
496	3076	9302
497	3082	9296
498	3088	9290
499	3094	9283
500	3101	9278
501	3106	9270
502	3112	9264
503	3118	9257
504	3124	9250
505	3130	9244
506	3136	9236
507	3142	9229
508	3148	9224
509	3155	9217
510	3161	9213
511	3168	9207
512	3175	9205
513	3182	9200
514	3188	9194
515	3194	9187
516	3200	9180
517	3206	9173
518	3212	9166
519	3218	9160
520	3224	9154
521	3230	9147
522	3237	9142
523	3243	9135
524	3249	9129
525	3255	9122
526	3261	9115
527	3267	9108
528	3272	9101
529	3279	9097
530	3286	9090
531	3292	9084
532	3298	9078
533	3304	9071
534	3310	9066
535	3316	9058
536	3322	9052
537	3329	9046
538	3335	9040
539	3342	9035
540	3347	9028
541	3353	9021
542	3360	9017
543	3366	9010
544	3372	9003
545	3378	8997
546	3384	8990
547	3390	8983
548	3396	8977
549	3402	8971
550	3408	8964
551	3414	8958
552	3420	8951
553	3427	8945
554	3433	8938
555	3438	8930
556	3445	8925
557	3451	8920
558	3458	8915
559	3464	8909
560	3471	8903
561	3476	8896
562	3483	8890
563	3489	8884
564	3495	8878
565	3501	8872
566	3508	8866
567	3514	8859
568	3519	8852
569	3526	8846
570	3532	8839
571	3538	8833
572	3544	8826
573	3550	8820
574	3556	8813
575	3562	8807
576	3568	8800
577	3574	8793
578	3580	8787
579	3586	8781
580	3593	8776
581	3599	8769
582	3605	8762
583	3611	8756
584	3617	8749
585	3623	8743
586	3629	8737
587	3635	8731
588	3642	8725
589	3648	8718
590	3655	8714
591	3661	8708
592	3668	8703
593	3673	8696
594	3679	8689
595	3685	8682
596	3691	8675
597	3697	8669
598	3704	8663
599	3710	8657
600	3717	8653
601	3723	8646
602	3729	8640
603	3735	8634
604	3742	8628
605	3748	8621
606	3753	8614
607	3759	8608
608	3766	8602
609	3773	8598
610	3780	8593
611	3786	8587
612	3792	8581
613	3798	8575
614	3804	8567
615	3810	8561
616	3817	8556
617	3823	8550
618	3829	8543
619	3835	8536
620	3841	8531
621	3848	8525
622	3854	8519
623	3860	8512
624	3866	8506
625	3872	8499
626	3878	8492
627	3884	8486
628	3890	8480
629	3896	8473
630	3903	8467
631	3908	8461
632	3914	8454
633	3920	8446
634	3926	8439
635	3932	8433
636	3938	8427
637	3944	8420
638	3950	8414
639	3957	8409
640	3963	8403
641	3970	8398
642	3976	8392
643	3983	8387
644	3989	8380
645	3995	8374
646	4001	8368
647	4008	8362
648	4014	8356
649	4020	8350
650	4026	8343
651	4032	8337
652	4038	8331
653	4044	8324
654	4051	8319
655	4057	8313
656	4064	8308
657	4070	8302
658	4076	8296
659	4082	8289
660	4089	8283
661	4095	8276
662	4102	8272
663	4108	8266
664	4114	8259
665	4120	8252
666	4126	8246
667	4132	8240
668	4138	8234
669	4144	8227
670	4151	8221
671	4157	8215
672	4163	8208
673	4169	8202
674	4175	8196
675	4181	8190
676	4187	8183
677	4193	8176
678	4199	8170
679	4205	8163
680	4211	8157
681	4217	8150
