자치구,초중고_학생수(명),사설학원수(개소),학생1만명당_사설학원수(개소)
종로구,15187,248,163.3
중구,11987,108,90.1
용산구,14270,151,105.8
성동구,18871,294,155.8
광진구,27738,441,159
동대문구,25443,388,152.5
중랑구,25922,271,104.5
성북구,36247,469,129.4
강북구,19829,217,109.4
도봉구,25784,299,116
노원구,56318,726,128.9
은평구,41023,525,128
서대문구,23555,355,150.7
마포구,26952,699,259.4
양천구,50479,1038,205.6
강서구,48496,708,146
구로구,33763,397,117.6
금천구,15492,219,141.4
영등포구,25623,470,183.4
동작구,27607,470,170.3
관악구,28082,415,147.8
서초구,42882,1193,278.2
강남구,59643,2500,419.2
송파구,61608,1110,180.2
강동구,43539,703,161.5
