"구분별(1)","구분별(2)",자치구별(1),자치구별(2),2007,2008,2009,2010
"학교수 (개)","소계",합계,소계,79,84,90,92
"학교수 (개)","소계",합계,국립,2,3,3,3
"학교수 (개)","소계",합계,공립,77,81,87,89
"학교수 (개)","소계",합계,종로구,2,3,3,3
"학교수 (개)","소계",합계,중구,1,1,1,1
"학교수 (개)","소계",합계,용산구,2,2,2,2
"학교수 (개)","소계",합계,성동구,2,2,3,3
"학교수 (개)","소계",합계,광진구,3,3,3,3
"학교수 (개)","소계",합계,동대문구,1,1,1,1
"학교수 (개)","소계",합계,중랑구,5,5,5,5
"학교수 (개)","소계",합계,성북구,3,3,3,3
"학교수 (개)","소계",합계,강북구,1,1,2,2
"학교수 (개)","소계",합계,도봉구,5,5,5,5
"학교수 (개)","소계",합계,노원구,5,5,5,5
"학교수 (개)","소계",합계,은평구,-,-,2,2
"학교수 (개)","소계",합계,서대문구,1,1,1,1
"학교수 (개)","소계",합계,마포구,2,2,2,2
"학교수 (개)","소계",합계,양천구,3,3,3,3
"학교수 (개)","소계",합계,강서구,3,3,4,4
"학교수 (개)","소계",합계,구로구,4,6,7,7
"학교수 (개)","소계",합계,금천구,2,3,3,3
"학교수 (개)","소계",합계,영등포구,7,7,7,7
"학교수 (개)","소계",합계,동작구,3,3,3,3
"학교수 (개)","소계",합계,관악구,4,4,4,4
"학교수 (개)","소계",합계,서초구,5,5,5,5
"학교수 (개)","소계",합계,강남구,6,6,6,6
"학교수 (개)","소계",합계,송파구,7,8,8,9
"학교수 (개)","소계",합계,강동구,2,2,2,3
"학급수 (개)","소계",합계,소계,2897,2986,3113,3180
"학급수 (개)","소계",합계,국립,40,59,60,60
"학급수 (개)","소계",합계,공립,2857,2927,3053,3120
"학급수 (개)","소계",합계,종로구,66,72,80,86
"학급수 (개)","소계",합계,중구,40,39,39,37
"학급수 (개)","소계",합계,용산구,74,74,75,73
"학급수 (개)","소계",합계,성동구,71,71,81,93
"학급수 (개)","소계",합계,광진구,146,146,145,143
"학급수 (개)","소계",합계,동대문구,48,48,47,46
"학급수 (개)","소계",합계,중랑구,160,167,177,178
"학급수 (개)","소계",합계,성북구,108,108,109,108
"학급수 (개)","소계",합계,강북구,37,38,47,55
"학급수 (개)","소계",합계,도봉구,156,164,167,165
"학급수 (개)","소계",합계,노원구,178,178,181,179
"학급수 (개)","소계",합계,은평구,-,-,20,40
"학급수 (개)","소계",합계,서대문구,18,18,18,18
"학급수 (개)","소계",합계,마포구,55,67,79,79
"학급수 (개)","소계",합계,양천구,96,103,102,103
"학급수 (개)","소계",합계,강서구,95,107,118,123
"학급수 (개)","소계",합계,구로구,156,171,198,219
"학급수 (개)","소계",합계,금천구,79,96,96,94
"학급수 (개)","소계",합계,영등포구,262,260,261,254
"학급수 (개)","소계",합계,동작구,109,110,110,109
"학급수 (개)","소계",합계,관악구,137,139,141,138
"학급수 (개)","소계",합계,서초구,198,195,197,193
"학급수 (개)","소계",합계,강남구,221,219,221,216
"학급수 (개)","소계",합계,송파구,285,295,305,325
"학급수 (개)","소계",합계,강동구,102,101,99,106
"학생수 (명)","소계",합계,소계,98441,104251,109585,109795
"학생수 (명)","소계",합계,국립,1321,2128,2055,1998
"학생수 (명)","소계",합계,공립,97120,102123,107530,107797
"학생수 (명)","소계",합계,종로구,1998,2175,2365,2447
"학생수 (명)","소계",합계,중구,1313,1291,1319,1173
"학생수 (명)","소계",합계,용산구,2444,2548,2576,2393
"학생수 (명)","소계",합계,성동구,2466,2589,2859,3180
"학생수 (명)","소계",합계,광진구,4986,5167,5092,5009
"학생수 (명)","소계",합계,동대문구,1568,1630,1619,1583
"학생수 (명)","소계",합계,중랑구,5368,5747,6153,6087
"학생수 (명)","소계",합계,성북구,3765,3928,4056,3960
"학생수 (명)","소계",합계,강북구,1292,1354,1651,1903
"학생수 (명)","소계",합계,도봉구,5231,5670,5869,5665
"학생수 (명)","소계",합계,노원구,5993,6267,6574,6353
"학생수 (명)","소계",합계,은평구,-,-,668,1280
"학생수 (명)","소계",합계,서대문구,347,352,336,348
"학생수 (명)","소계",합계,마포구,1899,2352,2716,2656
"학생수 (명)","소계",합계,양천구,3442,3758,3876,3909
"학생수 (명)","소계",합계,강서구,3220,3745,4244,4129
"학생수 (명)","소계",합계,구로구,5562,6031,6732,7218
"학생수 (명)","소계",합계,금천구,2681,3463,3353,3111
"학생수 (명)","소계",합계,영등포구,8944,9173,9166,8646
"학생수 (명)","소계",합계,동작구,3693,3738,3730,3707
"학생수 (명)","소계",합계,관악구,4580,4689,4732,4396
"학생수 (명)","소계",합계,서초구,6589,6613,6923,7111
"학생수 (명)","소계",합계,강남구,7359,7555,7959,8134
"학생수 (명)","소계",합계,송파구,10115,10811,11437,11791
"학생수 (명)","소계",합계,강동구,3586,3605,3580,3606
"학생수 (명)","남자",합계,소계,52960,55665,58685,59436
"학생수 (명)","남자",합계,국립,481,696,693,695
"학생수 (명)","남자",합계,공립,52479,54969,57992,58741
"학생수 (명)","남자",합계,종로구,1942,2011,2122,2125
"학생수 (명)","남자",합계,중구,1313,1291,1319,1173
"학생수 (명)","남자",합계,용산구,1963,2055,2071,1916
"학생수 (명)","남자",합계,성동구,593,590,713,915
"학생수 (명)","남자",합계,광진구,3249,3197,3104,3096
"학생수 (명)","남자",합계,동대문구,892,907,906,953
"학생수 (명)","남자",합계,중랑구,3524,3805,4053,4097
"학생수 (명)","남자",합계,성북구,2668,2778,2895,2796
"학생수 (명)","남자",합계,강북구,-,-,158,329
"학생수 (명)","남자",합계,도봉구,2741,2989,3137,3057
"학생수 (명)","남자",합계,노원구,3872,4022,4245,4137
"학생수 (명)","남자",합계,은평구,-,-,320,662
"학생수 (명)","남자",합계,서대문구,247,261,257,269
"학생수 (명)","남자",합계,마포구,196,394,586,605
"학생수 (명)","남자",합계,양천구,962,1089,1173,1263
"학생수 (명)","남자",합계,강서구,1679,2013,2271,2115
"학생수 (명)","남자",합계,구로구,3014,3227,3608,3971
"학생수 (명)","남자",합계,금천구,1537,1744,1740,1623
"학생수 (명)","남자",합계,영등포구,4219,4323,4347,4168
"학생수 (명)","남자",합계,동작구,1709,1716,1710,1694
"학생수 (명)","남자",합계,관악구,2132,2092,2205,2083
"학생수 (명)","남자",합계,서초구,4181,4258,4369,4579
"학생수 (명)","남자",합계,강남구,3495,3590,3777,3971
"학생수 (명)","남자",합계,송파구,5811,6255,6581,6708
"학생수 (명)","남자",합계,강동구,1021,1058,1018,1131
"학생수 (명)","여자",합계,소계,45481,48586,50900,50359
"학생수 (명)","여자",합계,국립,840,1432,1362,1303
"학생수 (명)","여자",합계,공립,44641,47154,49538,49056
"학생수 (명)","여자",합계,종로구,56,164,243,322
"학생수 (명)","여자",합계,용산구,481,493,505,477
"학생수 (명)","여자",합계,성동구,1873,1999,2146,2265
"학생수 (명)","여자",합계,광진구,1737,1970,1988,1913
"학생수 (명)","여자",합계,동대문구,676,723,713,630
"학생수 (명)","여자",합계,중랑구,1844,1942,2100,1990
"학생수 (명)","여자",합계,성북구,1097,1150,1161,1164
"학생수 (명)","여자",합계,강북구,1292,1354,1493,1574
"학생수 (명)","여자",합계,도봉구,2490,2681,2732,2608
"학생수 (명)","여자",합계,노원구,2121,2245,2329,2216
"학생수 (명)","여자",합계,은평구,-,-,348,618
"학생수 (명)","여자",합계,서대문구,100,91,79,79
"학생수 (명)","여자",합계,마포구,1703,1958,2130,2051
"학생수 (명)","여자",합계,양천구,2480,2669,2703,2646
"학생수 (명)","여자",합계,강서구,1541,1732,1973,2014
"학생수 (명)","여자",합계,구로구,2548,2804,3124,3247
"학생수 (명)","여자",합계,금천구,1144,1719,1613,1488
"학생수 (명)","여자",합계,영등포구,4725,4850,4819,4478
"학생수 (명)","여자",합계,동작구,1984,2022,2020,2013
"학생수 (명)","여자",합계,관악구,2448,2597,2527,2313
"학생수 (명)","여자",합계,서초구,2408,2355,2554,2532
"학생수 (명)","여자",합계,강남구,3864,3965,4182,4163
"학생수 (명)","여자",합계,송파구,4304,4556,4856,5083
"학생수 (명)","여자",합계,강동구,2565,2547,2562,2475
"교원수 (명)","소계",합계,소계,6249,6477,6760,6966
"교원수 (명)","소계",합계,국립,100,139,140,144
"교원수 (명)","소계",합계,공립,6149,6338,6620,6822
"교원수 (명)","소계",합계,종로구,163,182,209,224
"교원수 (명)","소계",합계,중구,84,82,84,78
"교원수 (명)","소계",합계,용산구,158,164,165,157
"교원수 (명)","소계",합계,성동구,152,154,176,197
"교원수 (명)","소계",합계,광진구,312,306,305,311
"교원수 (명)","소계",합계,동대문구,105,104,103,101
"교원수 (명)","소계",합계,중랑구,344,358,370,384
