"구분별(1)","구분별(2)",자치구별(1),자치구별(2),2007,2008,2009,2010
"학교수 (개)","소계",합계,소계,141,141,142,144
"학교수 (개)","소계",합계,종로구,9,9,9,9
"학교수 (개)","소계",합계,중구,5,5,5,5
"학교수 (개)","소계",합계,용산구,5,5,5,5
"학교수 (개)","소계",합계,성동구,1,1,1,1
"학교수 (개)","소계",합계,광진구,6,6,6,6
"학교수 (개)","소계",합계,동대문구,5,6,6,6
"학교수 (개)","소계",합계,중랑구,3,3,3,3
"학교수 (개)","소계",합계,성북구,6,6,6,6
"학교수 (개)","소계",합계,강북구,3,3,3,3
"학교수 (개)","소계",합계,도봉구,3,3,3,3
"학교수 (개)","소계",합계,노원구,12,12,12,12
"학교수 (개)","소계",합계,은평구,7,7,7,8
"학교수 (개)","소계",합계,서대문구,5,5,5,5
"학교수 (개)","소계",합계,마포구,4,4,4,4
"학교수 (개)","소계",합계,양천구,9,9,9,9
"학교수 (개)","소계",합계,강서구,12,12,12,13
"학교수 (개)","소계",합계,구로구,2,2,3,3
"학교수 (개)","소계",합계,금천구,3,2,2,2
"학교수 (개)","소계",합계,영등포구,1,1,1,1
"학교수 (개)","소계",합계,동작구,3,3,3,3
"학교수 (개)","소계",합계,관악구,7,7,7,7
"학교수 (개)","소계",합계,서초구,5,5,5,5
"학교수 (개)","소계",합계,강남구,11,11,11,11
"학교수 (개)","소계",합계,송파구,7,7,7,7
"학교수 (개)","소계",합계,강동구,7,7,7,7
"학급수 (개)","소계",합계,소계,5416,5344,5322,5266
"학급수 (개)","소계",합계,종로구,300,291,288,281
"학급수 (개)","소계",합계,중구,148,144,145,144
"학급수 (개)","소계",합계,용산구,141,141,139,136
"학급수 (개)","소계",합계,성동구,36,36,36,36
"학급수 (개)","소계",합계,광진구,237,234,228,219
"학급수 (개)","소계",합계,동대문구,189,194,197,199
"학급수 (개)","소계",합계,중랑구,129,122,118,113
"학급수 (개)","소계",합계,성북구,218,214,210,204
"학급수 (개)","소계",합계,강북구,120,120,120,120
"학급수 (개)","소계",합계,도봉구,119,115,113,110
"학급수 (개)","소계",합계,노원구,507,504,502,499
"학급수 (개)","소계",합계,은평구,327,327,326,331
"학급수 (개)","소계",합계,서대문구,203,203,203,199
"학급수 (개)","소계",합계,마포구,108,108,107,106
"학급수 (개)","소계",합계,양천구,381,377,377,379
"학급수 (개)","소계",합계,강서구,449,440,434,432
"학급수 (개)","소계",합계,구로구,66,64,69,74
"학급수 (개)","소계",합계,금천구,110,90,90,87
"학급수 (개)","소계",합계,영등포구,36,36,36,36
"학급수 (개)","소계",합계,동작구,109,108,108,108
"학급수 (개)","소계",합계,관악구,208,209,209,209
"학급수 (개)","소계",합계,서초구,216,209,207,202
"학급수 (개)","소계",합계,강남구,452,447,445,437
"학급수 (개)","소계",합계,송파구,291,299,307,303
"학급수 (개)","소계",합계,강동구,316,312,308,302
"학생수 (명)","소계",합계,소계,189628,193412,197018,193814
"학생수 (명)","소계",합계,종로구,10288,10274,10491,10178
"학생수 (명)","소계",합계,중구,4919,4960,5083,4975
"학생수 (명)","소계",합계,용산구,4633,4720,4809,4511
"학생수 (명)","소계",합계,성동구,1269,1314,1306,1293
"학생수 (명)","소계",합계,광진구,8682,8864,8700,8356
"학생수 (명)","소계",합계,동대문구,6533,6897,7141,7108
"학생수 (명)","소계",합계,중랑구,4373,4336,4221,3939
"학생수 (명)","소계",합계,성북구,7480,7742,7758,7526
"학생수 (명)","소계",합계,강북구,4311,4514,4653,4595
"학생수 (명)","소계",합계,도봉구,4137,4130,4156,4054
"학생수 (명)","소계",합계,노원구,17534,18103,18462,18409
"학생수 (명)","소계",합계,은평구,11594,12065,12103,12021
"학생수 (명)","소계",합계,서대문구,7358,7631,7624,7275
"학생수 (명)","소계",합계,마포구,3912,4042,4023,3883
"학생수 (명)","소계",합계,양천구,13465,13886,14464,14511
