"자치구별(1)",자치구별(2),2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023
"자치구별(1)",자치구별(2),학교수 (개),학급수 (개),학생수 (명),학생수 (명),학생수 (명),교원수 (명),교원수 (명),직원수 (명),직원수 (명),졸업자현황 (명),졸업자현황 (명),입학자현황 (명),입학자현황 (명),교지면적 (천㎡),건물면적 (천㎡),교실수 (개),학교수 (개),학급수 (개),학생수 (명),학생수 (명),학생수 (명),교원수 (명),교원수 (명),직원수 (명),직원수 (명),졸업자현황 (명),졸업자현황 (명),입학자현황 (명),입학자현황 (명),교지면적 (천㎡),건물면적 (천㎡),교실수 (개),학교수 (개),학급수 (개),학생수 (명),학생수 (명),학생수 (명),교원수 (명),교원수 (명),직원수 (명),직원수 (명),졸업자현황 (명),졸업자현황 (명),입학자현황 (명),입학자현황 (명),교지면적 (천㎡),건물면적 (천㎡),교실수 (개),학교수 (개),학급수 (개),학생수 (명),학생수 (명),학생수 (명),교원수 (명),교원수 (명),직원수 (명),직원수 (명),졸업자현황 (명),졸업자현황 (명),입학자현황 (명),입학자현황 (명),교지면적 (천㎡),건물면적 (천㎡),교실수 (개),학교수 (개),학급수 (개),학생수 (명),학생수 (명),학생수 (명),교원수 (명),교원수 (명),직원수 (명),직원수 (명),졸업자현황 (명),졸업자현황 (명),입학자현황 (명),입학자현황 (명),교지면적 (천㎡),건물면적 (천㎡),교실수 (개),학교수 (개),학급수 (개),학생수 (명),학생수 (명),학생수 (명),교원수 (명),교원수 (명),교원수 (명),직원수 (명),직원수 (명),직원수 (명),졸업자현황 (명),졸업자현황 (명),졸업자현황 (명),졸업자현황 (명),입학자현황 (명),입학자현황 (명),입학자현황 (명),입학자현황 (명),교지면적 (천㎡),건물면적 (천㎡),교실수 (개),학교수 (개),학급수 (개),학생수 (명),학생수 (명),학생수 (명),교원수 (명),교원수 (명),교원수 (명),직원수 (명),직원수 (명),직원수 (명),졸업자현황 (명),졸업자현황 (명),졸업자현황 (명),졸업자현황 (명),입학자현황 (명),입학자현황 (명),입학자현황 (명),입학자현황 (명),교지면적 (천㎡),건물면적 (천㎡),교실수 (개),학교수 (개),학급수 (개),학생수 (명),학생수 (명),학생수 (명),교원수 (명),교원수 (명),교원수 (명),직원수 (명),직원수 (명),직원수 (명),졸업자현황 (명),졸업자현황 (명),졸업자현황 (명),졸업자현황 (명),입학자현황 (명),입학자현황 (명),입학자현황 (명),입학자현황 (명),교지면적 (천㎡),건물면적 (천㎡),교실수 (개),학교수 (개),학급수 (개),학생수 (명),학생수 (명),학생수 (명),교원수 (명),교원수 (명),교원수 (명),직원수 (명),직원수 (명),직원수 (명),졸업자현황 (명),졸업자현황 (명),졸업자현황 (명),졸업자현황 (명),입학자현황 (명),입학자현황 (명),입학자현황 (명),입학자현황 (명),교지면적 (천㎡),건물면적 (천㎡),교실수 (개),학교수 (개),학급수 (개),학생수 (명),학생수 (명),학생수 (명),교원수 (명),교원수 (명),교원수 (명),직원수 (명),직원수 (명),직원수 (명),졸업자현황 (명),졸업자현황 (명),졸업자현황 (명),입학자현황 (명),입학자현황 (명),입학자현황 (명),입학자현황 (명),교지면적 (천㎡),건물면적 (천㎡),교실수 (개),학교수 (개),학급수 (개),학생수 (명),학생수 (명),학생수 (명),교원수 (명),교원수 (명),교원수 (명),직원수 (명),직원수 (명),직원수 (명),졸업자현황 (명),졸업자현황 (명),졸업자현황 (명),입학자현황 (명),입학자현황 (명),입학자현황 (명),입학자현황 (명),교지면적 (천㎡),건물면적 (천㎡),교실수 (개),학교수 (개),학급수 (개),학생수 (명),학생수 (명),학생수 (명),교원수 (명),교원수 (명),교원수 (명),직원수 (명),직원수 (명),직원수 (명),졸업자현황 (명),졸업자현황 (명),졸업자현황 (명),입학자현황 (명),입학자현황 (명),입학자현황 (명),입학자현황 (명),교지면적 (천㎡),건물면적 (천㎡),교실수 (개),학교수 (개),학급수 (개),학생수 (명),학생수 (명),학생수 (명),교원수 (명),교원수 (명),교원수 (명),직원수 (명),직원수 (명),직원수 (명),졸업자현황 (명),졸업자현황 (명),졸업자현황 (명),입학자현황 (명),입학자현황 (명),입학자현황 (명),입학자현황 (명),교지면적 (천㎡),건물면적 (천㎡),교실수 (개)
"자치구별(1)",자치구별(2),소계,소계,소계,남자,여자,소계,여자,소계,여자,졸업자수,진학자수,입학정원수,입학자수,소계,소계,소계,소계,소계,소계,남자,여자,소계,여자,소계,여자,졸업자수,진학자수,입학정원수,입학자수,소계,소계,소계,소계,소계,소계,남자,여자,소계,여자,소계,여자,졸업자수,진학자수,입학정원수,입학자수,소계,소계,소계,소계,소계,소계,남자,여자,소계,여자,소계,여자,졸업자수,진학자수,입학정원수,입학자수,소계,소계,소계,소계,소계,소계,남자,여자,소계,여자,소계,여자,졸업자수,진학자수,입학정원수,입학자수,소계,소계,소계,소계,소계,소계,남자,여자,소계,남자,여자,소계,남자,여자,졸업자수,졸업자수,졸업자수,진학자수,입학정원수,입학자수,입학자수,입학자수,소계,소계,소계,소계,소계,소계,남자,여자,소계,남자,여자,소계,남자,여자,졸업자수,졸업자수,졸업자수,진학자수,입학정원수,입학자수,입학자수,입학자수,소계,소계,소계,소계,소계,소계,남자,여자,소계,남자,여자,소계,남자,여자,졸업자수,졸업자수,졸업자수,진학자수,입학정원수,입학자수,입학자수,입학자수,소계,소계,소계,소계,소계,소계,남자,여자,소계,남자,여자,소계,남자,여자,졸업자수,졸업자수,졸업자수,진학자수,입학정원수,입학자수,입학자수,입학자수,소계,소계,소계,소계,소계,소계,남자,여자,소계,남자,여자,소계,남자,여자,졸업자수,졸업자수,졸업자수,입학정원수,입학자수,입학자수,입학자수,소계,소계,소계,소계,소계,소계,남자,여자,소계,남자,여자,소계,남자,여자,졸업자수,졸업자수,졸업자수,입학정원수,입학자수,입학자수,입학자수,소계,소계,소계,소계,소계,소계,남자,여자,소계,남자,여자,소계,남자,여자,졸업자수,졸업자수,졸업자수,입학정원수,입학자수,입학자수,입학자수,소계,소계,소계,소계,소계,소계,남자,여자,소계,남자,여자,소계,남자,여자,졸업자수,졸업자수,졸업자수,입학정원수,입학자수,입학자수,입학자수,소계,소계,소계
"자치구별(1)",자치구별(2),소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,남자,여자,소계,소계,소계,남자,여자,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,남자,여자,소계,소계,소계,남자,여자,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,남자,여자,소계,소계,소계,남자,여자,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,남자,여자,소계,소계,소계,남자,여자,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,남자,여자,소계,소계,남자,여자,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,남자,여자,소계,소계,남자,여자,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,남자,여자,소계,소계,남자,여자,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,남자,여자,소계,소계,남자,여자,소계,소계,소계
"합계",소계,107,4021,145177,70657,74520,8397,3306,635,159,50663,29373,48557,48643,2490,1386,4184,108,4006,143546,69916,73630,8463,3390,643,161,48101,28353,47698,47265,2541,1431,4185,110,4016,140892,68366,72526,8582,3512,648,170,48760,29783,46451,46199,2563,1488,4160,110,3959,135359,65308,70051,8517,3499,646,167,47829,30200,43650,43469,2559,1513,4246,110,3901,129454,62472,66982,8454,3580,650,178,46167,29308,41230,40979,2528,1524,5727,112,3888,126530,61426,65104,8373,4756,3617,659,475,184,45580,21996,23584,28466,42512,42267,20688,21579,2539,1570,5805,112,3774,116839,56733,60106,8156,4587,3569,655,462,193,43129,20853,22276,26571,34715,34505,16583,17922,2520,1591,5712,112,3684,104985,51036,53949,7956,4395,3561,651,462,189,40470,19477,20993,25414,29977,29636,14189,15447,2526,1599,5664,113,3622,94660,46270,48390,7865,4288,3577,648,452,196,41246,20489,20757,25119,31437,31046,15118,15928,2532,1613,5650,114,3618,90226,44542,45684,7827,4128,3699,644,450,194,34181,16798,17383,30277,29984,14802,15182,2585,1637,5666,114,3560,87604,43443,44161,7749,3935,3814,643,445,198,29275,14444,14831,27884,27185,13552,13633,2565,1642,5607,117,3600,86059,43334,42725,7872,3905,3967,659,451,208,31168,15614,15554,29276,28908,14440,14468,2651,1698,5726,118,3599,87117,44105,43012,7868,3774,4094,728,494,234,30105,15233,14872,32463,31890,15960,15930,2685,1727,5731
"합계",종로구,6,191,6707,2395,4312,397,162,37,10,2218,1275,2256,2250,102,64,207,6,187,6426,2291,4135,389,163,36,9,2212,1285,2046,2033,102,65,206,6,182,6162,2220,3942,387,166,36,8,2196,1349,2040,2040,101,65,198,6,175,5848,2112,3736,379,163,36,8,2141,1326,1899,1906,102,67,195,6,168,5486,1999,3487,372,167,34,9,1959,1230,1754,1683,102,66,267,6,161,5058,1905,3153,354,199,155,34,25,9,1939,697,1242,1244,1643,1639,647,992,102,66,262,5,132,4073,1745,2328,288,161,127,26,20,6,1477,643,834,944,1273,1232,530,702,87,56,208,5,132,3602,1553,2049,290,155,135,25,19,6,1368,591,777,868,1002,988,431,557,93,56,208,5,130,3106,1318,1788,297,154,143,29,20,9,1424,606,818,869,1011,993,386,607,93,56,207,5,127,2805,1149,1656,283,142,141,27,19,8,1157,495,662,923,912,345,567,93,56,206,5,125,2653,989,1664,282,138,144,28,20,8,928,422,506,859,809,284,525,88,56,206,6,150,2988,1443,1545,356,180,176,34,24,10,1195,611,584,1006,961,451,510,118,81,254,6,150,2898,1394,1504,352,170,182,37,23,14,1103,562,541,1127,1085,540,545,118,92,239
"합계",중구,3,88,2950,2132,818,192,86,16,7,980,567,981,976,26,31,87,3,85,2819,2020,799,189,84,16,7,998,583,932,933,26,31,85,3,82,2743,1984,759,182,78,15,7,943,587,906,898,26,31,84,3,80,2477,1775,702,175,76,14,6,932,628,724,725,26,31,82,3,79,2363,1654,709,184,83,16,7,886,578,797,797,27,31,113,2,54,1618,1618,-,127,70,57,10,6,4,610,610,-,395,592,592,592,-,29,19,73,2,53,1523,1523,-,119,68,51,10,6,4,505,505,-,318,476,450,450,-,29,19,77,2,52,1362,1362,-,118,71,47,10,6,4,513,513,-,317,425,391,391,-,29,19,76,2,50,1156,1156,-,115,73,42,10,6,4,549,549,-,343,388,377,377,-,29,19,71,2,49,1116,1116,-,107,65,42,9,6,3,403,403,-,376,371,371,-,29,19,70,2,47,1014,1014,-,108,67,41,11,6,5,372,372,-,290,288,288,-,29,19,58,2,46,892,892,-,105,67,38,10,6,4,367,367,-,284,278,278,-,37,19,58,2,45,834,757,77,101,63,38,12,7,5,346,346,-,326,318,240,78,37,19,58
"합계",용산구,5,132,4196,2103,2093,283,100,28,7,1590,996,1136,1335,107,56,142,5,128,3860,1976,1884,281,97,26,7,1543,963,1374,1216,107,56,137,5,125,3831,1940,1891,272,95,26,8,1309,824,1290,1285,107,57,129,5,123,3723,1842,1881,269,93,27,8,1309,890,1254,1254,105,59,141,5,121,3618,1761,1857,267,97,27,11,1209,841,1144,1141,105,59,201,5,119,3480,1675,1805,264,155,109,26,16,10,1244,595,649,828,1156,1150,536,614,105,58,193,5,116,3200,1445,1755,257,153,104,27,15,12,1200,591,609,764,941,925,373,552,105,58,192,5,114,2816,1194,1622,250,138,112,26,14,12,1110,534,576,736,760,749,294,455,105,58,192,5,111,2413,958,1455,249,127,122,26,15,11,1127,525,602,738,782,769,312,457,100,58,192,5,107,2192,900,1292,247,122,125,25,14,11,926,368,558,753,736,316,420,100,58,193,5,104,2045,872,1173,232,117,115,24,12,12,710,274,436,631,599,260,339,100,61,199,5,100,1878,801,1077,229,114,115,25,12,13,735,305,430,616,604,244,360,100,61,196,5,101,1807,782,1025,229,111,118,27,14,13,691,294,397,713,667,280,387,100,61,188
"합계",성동구,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"합계",광진구,4,152,5436,2333,3103,313,110,24,7,2222,1354,1792,1780,78,46,156,4,150,5478,2325,3153,315,113,24,8,1833,1122,1866,1862,78,46,156,4,149,5394,2197,3197,317,118,24,8,1828,1220,1748,1749,78,46,156,4,147,5242,2158,3084,317,117,23,8,1784,1202,1691,1691,78,46,156,4,144,4928,2052,2876,308,118,24,8,1825,1157,1535,1532,78,46,198,4,141,4743,2046,2697,302,180,122,24,16,8,1703,665,1038,1071,1517,1519,659,860,78,46,201,4,135,4233,1861,2372,294,169,125,24,16,8,1662,733,929,1056,1179,1182,547,635,78,46,200,4,129,3734,1643,2091,275,163,112,23,16,7,1554,638,916,978,1023,1021,428,593,78,46,199,4,124,3268,1457,1811,266,166,100,24,16,8,1514,663,851,1019,1095,1085,487,598,78,46,196,4,122,3114,1367,1747,261,156,105,24,15,9,1170,534,636,1034,1027,444,583,78,46,195,4,120,3028,1351,1677,259,147,112,24,16,8,1002,428,574,950,936,416,520,78,46,195,4,118,2976,1302,1674,259,137,122,26,17,9,1068,485,583,1046,1027,436,591,78,46,192,4,117,2995,1266,1729,256,133,123,26,19,7,1009,443,566,1074,1057,416,641,78,46,192
"합계",동대문구,4,134,4647,1437,3210,280,122,23,5,1625,1045,1648,1644,74,41,138,4,131,4639,1522,3117,278,127,24,6,1495,987,1482,1481,74,42,145,4,131,4587,1524,3063,289,143,25,6,1493,1041,1461,1469,81,51,136,4,128,4284,1398,2886,277,130,25,5,1640,1147,1373,1372,81,60,165,4,127,4157,1313,2844,274,131,25,5,1443,1034,1342,1337,81,61,211,4,127,4042,1258,2784,275,148,127,25,20,5,1444,467,977,1136,1360,1365,425,940,81,61,211,4,123,3722,1152,2570,270,139,131,25,20,5,1358,436,922,1016,1080,1081,343,738,81,61,211,4,120,3323,1051,2272,266,137,129,25,20,5,1290,385,905,957,937,938,288,650,81,61,209,4,116,2973,949,2024,255,130,125,24,18,6,1302,406,896,895,981,977,301,676,81,61,206,4,114,2790,906,1884,248,121,127,22,17,5,1056,348,708,895,897,295,602,81,63,215,4,112,2700,912,1788,248,115,133,23,17,6,926,295,631,873,843,301,542,81,63,212,4,111,2588,915,1673,247,114,133,22,16,6,950,300,650,873,872,302,570,81,67,218,4,111,2599,922,1677,248,111,137,23,16,7,876,304,572,922,919,313,606,81,67,218
