구,target
강남구,114847.46150282993
서초구,113608.65339005383
용산구,105876.96189966425
송파구,83868.03291997018
성동구,68924.38939986788
광진구,67158.37929315813
마포구,64445.22613712333
중구,62084.98573349268
동작구,60936.451057841856
양천구,59042.13292698742
종로구,57674.03296341062
영등포구,56137.3424643157
강동구,54402.87280071088
서대문구,49082.57368821293
동대문구,45194.761821983724
성북구,45117.779038376706
강서구,44215.45370064555
은평구,43721.69184755636
관악구,41954.13303861873
구로구,38605.012447052286
강북구,38316.97520094994
중랑구,35195.76281878471
노원구,33870.44473018879
금천구,33709.24864699275
도봉구,31924.613710720536
